epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
78,8075.15,0.93232,1.30635,0.74537,0.00255,0.63056,0.62043,0.42705,0.41463,0.26411,0.63826,0.37303,0.38035,0.22179,1.06605,1.92701,1.23281,0.00414,0,0.000182791,0.000182791,0.000182791
79,8178.16,0.95056,1.35453,0.7623,0.00256,0.63341,0.52524,0.42753,0.43034,0.27568,0.59356,0.37146,0.40657,0.23495,1.07329,1.98525,1.18632,0.00414,0,0.000175178,0.000175178,0.000175178
80,8282.2,0.94316,1.32762,0.732,0.00256,0.59305,0.67035,0.42044,0.42203,0.27106,0.67505,0.4075,0.40475,0.2339,1.07164,1.97929,1.25533,0.00413,0,0.000167565,0.000167565,0.000167565
81,8381.4,0.94087,1.32599,0.70396,0.00253,0.58559,0.51416,0.45059,0.43316,0.27371,0.51537,0.41775,0.40688,0.23657,1.05681,1.97765,1.25131,0.00409,0,0.000159952,0.000159952,0.000159952
82,8480.18,0.92168,1.29473,0.72107,0.00248,0.59599,0.67538,0.42903,0.4346,0.27531,0.66633,0.40877,0.41911,0.23906,1.05745,1.99839,1.22846,0.00411,0,0.000152339,0.000152339,0.000152339
83,8582.97,0.92173,1.2905,0.71635,0.00256,0.5861,0.69277,0.40358,0.43274,0.276,0.70439,0.38688,0.41792,0.23841,1.07256,1.98558,1.24634,0.00418,0,0.000144726,0.000144726,0.000144726
84,8684.16,0.94271,1.33529,0.72614,0.00241,0.618,0.54232,0.43339,0.42616,0.27257,0.53073,0.42194,0.41357,0.23436,1.06158,1.98543,1.24645,0.00411,0,0.000137113,0.000137113,0.000137113
85,8788.86,0.91712,1.30044,0.70105,0.00244,0.60024,0.64685,0.40008,0.4248,0.27085,0.66927,0.37523,0.40046,0.23186,1.05336,1.99582,1.27262,0.00408,0,0.0001295,0.0001295,0.0001295
86,8889.56,0.92224,1.27974,0.6907,0.0024,0.60673,0.55759,0.43537,0.43187,0.27583,0.53056,0.41655,0.40949,0.23676,1.07264,2.00403,1.19649,0.00412,0,0.000121887,0.000121887,0.000121887
87,8993.58,0.91235,1.27841,0.69724,0.00247,0.57593,0.54296,0.43312,0.42745,0.27694,0.64188,0.39671,0.40415,0.23911,1.07015,1.98384,1.20061,0.00416,0,0.000114273,0.000114273,0.000114273
88,9099.55,0.9204,1.27875,0.71235,0.00247,0.59261,0.55409,0.40804,0.42553,0.27736,0.70862,0.37013,0.40528,0.23819,1.06737,2.00171,1.25232,0.00414,0,0.00010666,0.00010666,0.00010666
89,9202.91,0.90105,1.25667,0.67554,0.0024,0.55749,0.67195,0.42026,0.42355,0.27335,0.67377,0.39919,0.40736,0.23492,1.06797,2.00376,1.21256,0.00415,0,9.90472e-05,9.90472e-05,9.90472e-05
90,9308.59,0.89849,1.25871,0.67505,0.00239,0.54941,0.67941,0.42346,0.43055,0.27671,0.67897,0.39086,0.4106,0.23549,1.07293,1.99711,1.23327,0.00416,0,9.14341e-05,9.14341e-05,9.14341e-05
91,9407.75,0.88268,1.30415,0.6525,0.00279,0.40152,0.64921,0.41106,0.42526,0.27627,0.63049,0.40107,0.40358,0.23479,1.07065,1.96565,1.25072,0.00413,0,8.3821e-05,8.3821e-05,8.3821e-05
92,9495.95,0.88454,1.29035,0.63745,0.00273,0.40088,0.40036,0.43123,0.42131,0.27253,0.54386,0.39803,0.4092,0.23427,1.07445,1.98614,1.2422,0.00417,0,7.62079e-05,7.62079e-05,7.62079e-05
93,9588.97,0.86996,1.25574,0.61273,0.00267,0.37467,0.53399,0.42023,0.42042,0.2733,0.67796,0.38891,0.41107,0.23365,1.06674,1.99433,1.26257,0.00415,0,6.85948e-05,6.85948e-05,6.85948e-05
94,9681.06,0.87386,1.25848,0.60912,0.00269,0.36486,0.52475,0.43924,0.42048,0.27448,0.5138,0.42961,0.41057,0.23272,1.06571,1.99969,1.24171,0.00412,0,6.09817e-05,6.09817e-05,6.09817e-05
95,9774,0.84607,1.24674,0.60104,0.00269,0.36494,0.56045,0.40935,0.41922,0.27249,0.55855,0.4021,0.40984,0.2335,1.06337,2.00669,1.26538,0.00412,0,5.33686e-05,5.33686e-05,5.33686e-05
96,9865.56,0.85206,1.24174,0.60366,0.00263,0.3637,0.52868,0.41022,0.41325,0.27076,0.52186,0.40165,0.4082,0.23232,1.07309,2.00882,1.25559,0.00416,0,4.57555e-05,4.57555e-05,4.57555e-05
97,9956.15,0.85092,1.23471,0.60425,0.00263,0.35712,0.5372,0.42302,0.42255,0.27508,0.67107,0.39107,0.41116,0.23527,1.06412,1.99236,1.25175,0.00412,0,3.81424e-05,3.81424e-05,3.81424e-05
98,10049,0.82944,1.21018,0.58423,0.0026,0.36528,0.53832,0.4279,0.4254,0.27589,0.53789,0.4147,0.41587,0.23577,1.06567,1.9969,1.23765,0.00413,0,3.05293e-05,3.05293e-05,3.05293e-05
99,10146.5,0.81996,1.1929,0.58616,0.00258,0.35543,0.54033,0.42453,0.4225,0.27434,0.55225,0.40926,0.41101,0.23453,1.07147,1.99453,1.26541,0.00415,0,2.29162e-05,2.29162e-05,2.29162e-05
100,10240.8,0.83931,1.23661,0.59743,0.00269,0.36608,0.53787,0.43015,0.42018,0.27286,0.54517,0.40632,0.40767,0.23409,1.07043,2.00171,1.26569,0.00415,0,1.53031e-05,1.53031e-05,1.53031e-05
