epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
40,4412.11,1.06868,1.74734,1.23455,0.00302,1.6964,0.55826,0.56413,0.57361,0.41216,0.56851,0.56704,0.57137,0.36924,1.08997,1.95707,1.41259,0.0043,0,0.000767375,0.000767375,0.000767375
41,4529.64,1.02913,1.64238,1.17432,0.00298,1.57344,0.54079,0.59036,0.59068,0.42319,0.54085,0.58966,0.58416,0.3962,1.06278,1.9509,1.34737,0.0043,0,0.000755,0.000755,0.000755
42,4643.76,1.03483,1.68765,1.17153,0.00293,1.59907,0.52567,0.61498,0.62031,0.4432,0.52435,0.60445,0.60766,0.42262,1.08496,1.95117,1.35021,0.00435,0,0.000742625,0.000742625,0.000742625
43,4749.04,1.04798,1.70851,1.21813,0.00302,1.62935,0.5139,0.56012,0.58013,0.42335,0.49804,0.55191,0.56413,0.38327,1.10605,1.93773,1.32888,0.00438,0,0.00073025,0.00073025,0.00073025
44,4865.83,1.01576,1.66511,1.21548,0.00291,1.58915,0.6817,0.5237,0.60698,0.44978,0.67356,0.52445,0.60263,0.41247,1.09244,1.96755,1.31489,0.0043,0,0.000717875,0.000717875,0.000717875
45,4981.06,1.02763,1.65422,1.16528,0.0029,1.53574,0.59275,0.5778,0.6084,0.43787,0.59808,0.55875,0.6038,0.41253,1.08323,1.92931,1.23059,0.0044,0,0.0007055,0.0007055,0.0007055
46,5092.6,1.04454,1.66948,1.16315,0.00299,1.55501,0.5906,0.54113,0.61497,0.4439,0.59918,0.53699,0.60468,0.41303,1.08131,1.95916,1.2685,0.00427,0,0.000693125,0.000693125,0.000693125
47,5193.67,1.03566,1.71813,1.19559,0.00308,1.58855,0.47873,0.58977,0.58602,0.42706,0.50159,0.58165,0.5786,0.38938,1.0578,1.96908,1.39113,0.00423,0,0.00068075,0.00068075,0.00068075
48,5302.54,1.03111,1.69882,1.15507,0.0029,1.46621,0.61634,0.58694,0.61166,0.4356,0.62325,0.58678,0.60646,0.41742,1.05164,1.922,1.31062,0.0042,0,0.000668375,0.000668375,0.000668375
49,5413.87,1.0313,1.68373,1.16499,0.00303,1.57896,0.59113,0.59508,0.60197,0.41721,0.58937,0.59411,0.59456,0.39082,1.08486,1.95228,1.25916,0.00431,0,0.000656,0.000656,0.000656
50,5520.42,1.03375,1.65098,1.1642,0.00296,1.48216,0.54436,0.62287,0.62233,0.44961,0.55542,0.62239,0.61829,0.42941,1.10004,1.98404,1.31529,0.00438,0,0.000643625,0.000643625,0.000643625
51,5623.77,1.06171,1.71335,1.23379,0.00305,1.55468,0.55514,0.57613,0.58772,0.42645,0.57586,0.57416,0.59712,0.39291,1.06331,1.94358,1.30302,0.00421,0,0.00063125,0.00063125,0.00063125
52,5740.6,1.03183,1.68914,1.17623,0.00296,1.54485,0.65067,0.53276,0.60834,0.43995,0.60112,0.55614,0.61075,0.41373,1.09909,2.00438,1.28158,0.00441,0,0.000618875,0.000618875,0.000618875
53,5853.67,1.00639,1.6215,1.11475,0.00303,1.5083,0.6911,0.51613,0.60414,0.44377,0.70063,0.51941,0.60438,0.41221,1.06522,1.94781,1.27388,0.00423,0,0.0006065,0.0006065,0.0006065
54,5968.95,1.01634,1.62713,1.13319,0.0029,1.54382,0.51895,0.62398,0.60973,0.45263,0.5235,0.6209,0.60611,0.4216,1.05629,1.96394,1.35583,0.00419,0,0.000594125,0.000594125,0.000594125
55,6078.85,1.01987,1.61822,1.14361,0.00281,1.56285,0.5972,0.62887,0.6495,0.46843,0.5905,0.62888,0.64786,0.44827,1.05813,1.91207,1.2467,0.00422,0,0.00058175,0.00058175,0.00058175
56,6185.66,1.00658,1.58744,1.10479,0.00284,1.46092,0.50676,0.59037,0.60117,0.42003,0.6539,0.48537,0.59536,0.39307,1.07558,1.98164,1.33347,0.00429,0,0.000569375,0.000569375,0.000569375
57,6295.95,1.00566,1.52685,1.07165,0.00286,1.43092,0.58498,0.59115,0.63401,0.4527,0.59296,0.58298,0.6337,0.42445,1.06917,1.9071,1.25228,0.00426,0,0.000557,0.000557,0.000557
58,6408.07,1.01623,1.6139,1.11347,0.00299,1.48424,0.58118,0.63692,0.63655,0.46518,0.58266,0.63646,0.63132,0.43074,1.05803,1.9446,1.27116,0.00419,0,0.000544625,0.000544625,0.000544625
59,6516.66,1.02082,1.60957,1.10756,0.00281,1.4324,0.55432,0.62904,0.63216,0.46506,0.54771,0.64201,0.63905,0.43756,1.05146,1.94749,1.26361,0.00416,0,0.00053225,0.00053225,0.00053225
60,6619.5,0.98955,1.55083,1.07487,0.00279,1.52307,0.62686,0.60043,0.62142,0.45446,0.60228,0.59853,0.61152,0.42899,1.06684,1.96305,1.29463,0.00421,0,0.000519875,0.000519875,0.000519875
61,6722.67,1.01865,1.63284,1.12112,0.00286,1.47679,0.60583,0.54426,0.59613,0.43489,0.61225,0.54731,0.59549,0.40405,1.0755,1.9081,1.26809,0.00425,0,0.0005075,0.0005075,0.0005075
62,6838.13,1.01211,1.58549,1.07498,0.0029,1.45038,0.50877,0.60198,0.58541,0.42072,0.613,0.54228,0.5798,0.3903,1.08215,2.01444,1.29713,0.00435,0,0.000495125,0.000495125,0.000495125
