epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,7392.7,1.00372,1.57688,1.03986,0.00287,0.97126,0.59387,0.39481,0.38077,0.24276,0.57514,0.38111,0.36738,0.22346,0.96253,1.82177,1.13758,0.00381,0,0.000487315,0.000487315,0.000487315
39,7585.27,0.97314,1.53652,1.03282,0.00274,0.98591,0.44201,0.42322,0.40948,0.26149,0.42894,0.41687,0.40903,0.23724,0.96461,1.80801,1.10204,0.00389,0,0.000479702,0.000479702,0.000479702
40,7779.13,0.95714,1.53336,1.03767,0.00272,0.97197,0.60655,0.36677,0.39982,0.25265,0.65047,0.35248,0.38507,0.22644,0.95297,1.79562,1.12152,0.00379,0,0.000472089,0.000472089,0.000472089
41,7971.59,0.96725,1.51674,0.99014,0.00277,0.9449,0.48288,0.4039,0.40414,0.25871,0.50181,0.40822,0.39577,0.2321,0.94765,1.79096,1.06981,0.00379,0,0.000464476,0.000464476,0.000464476
42,8165.48,0.96041,1.49488,0.98635,0.00266,0.92539,0.48544,0.39854,0.40386,0.26159,0.49799,0.39629,0.39702,0.23736,0.96483,1.77904,1.11753,0.00379,0,0.000456863,0.000456863,0.000456863
43,8359.47,0.96934,1.50875,0.97298,0.00271,0.90696,0.4815,0.4582,0.41847,0.26565,0.46889,0.41151,0.40065,0.24285,0.96277,1.7849,1.06971,0.00384,0,0.00044925,0.00044925,0.00044925
44,8552.8,0.94042,1.45022,0.95117,0.00272,0.87726,0.55075,0.41802,0.42026,0.26419,0.54385,0.39766,0.40628,0.23903,0.95976,1.80375,1.11867,0.00385,0,0.000441637,0.000441637,0.000441637
45,8745.04,0.951,1.4746,0.95434,0.00272,0.91474,0.33143,0.45898,0.42994,0.27636,0.32131,0.44702,0.42431,0.24787,0.95078,1.78826,1.09655,0.00375,0,0.000434024,0.000434024,0.000434024
46,8938.16,0.95245,1.48191,0.93455,0.00266,0.88618,0.47716,0.41661,0.41376,0.26734,0.59239,0.40361,0.39651,0.23371,0.94149,1.78101,1.08862,0.00375,0,0.000426411,0.000426411,0.000426411
47,9130.64,0.93894,1.48032,0.92596,0.0027,0.87827,0.46267,0.41456,0.39959,0.26107,0.49234,0.41036,0.39734,0.23549,0.94515,1.8166,1.11994,0.00376,0,0.000418797,0.000418797,0.000418797
