epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
44,4976.45,0.95096,1.50763,1.02659,0.00267,0.89256,0.58194,0.36623,0.38327,0.24754,0.59321,0.37993,0.37454,0.22454,1.07843,1.9954,1.29767,0.00429,0,0.000441637,0.000441637,0.000441637
45,5093.38,0.96302,1.5061,0.98141,0.00265,0.90803,0.47871,0.38396,0.38397,0.25344,0.58698,0.37049,0.37768,0.22778,1.06568,1.95548,1.26205,0.00419,0,0.000434024,0.000434024,0.000434024
46,5207.6,0.97427,1.51422,0.98701,0.00271,0.90338,0.47482,0.3984,0.41765,0.26948,0.52303,0.3749,0.40318,0.23861,1.04608,1.93141,1.20814,0.00413,0,0.000426411,0.000426411,0.000426411
47,5324.26,0.95838,1.53358,0.97882,0.00279,0.89502,0.59499,0.37219,0.38033,0.25109,0.6166,0.37189,0.37168,0.22448,1.05205,1.93466,1.29664,0.00417,0,0.000418797,0.000418797,0.000418797
48,5439.43,0.96014,1.53811,0.95796,0.00262,0.8948,0.6579,0.41611,0.40535,0.25575,0.65384,0.41307,0.39473,0.23337,1.06385,1.89994,1.27174,0.0042,0,0.000411184,0.000411184,0.000411184
49,5556.74,0.96501,1.5137,0.95648,0.00277,0.8879,0.50521,0.39489,0.40162,0.26453,0.49905,0.39222,0.39127,0.23314,1.05734,1.93732,1.22878,0.00421,0,0.000403571,0.000403571,0.000403571
50,5669.29,0.9615,1.49211,0.96308,0.00267,0.88396,0.56559,0.40195,0.44623,0.27802,0.55886,0.3971,0.42185,0.23951,1.0398,1.9504,1.24889,0.00407,0,0.000395958,0.000395958,0.000395958
51,5779.47,0.97484,1.52245,0.99403,0.00267,0.86054,0.5765,0.42117,0.40879,0.26712,0.57476,0.39343,0.39852,0.23442,1.06154,1.95727,1.28592,0.00419,0,0.000388345,0.000388345,0.000388345
52,5891.73,0.95613,1.5198,0.96025,0.00267,0.92377,0.5564,0.37149,0.4212,0.26834,0.54803,0.36663,0.40865,0.23949,1.04782,1.92513,1.25138,0.00413,0,0.000380732,0.000380732,0.000380732
53,6003.15,0.93037,1.44864,0.91614,0.0027,0.84039,0.58643,0.41893,0.41993,0.2653,0.58104,0.41678,0.39911,0.235,1.04444,1.90117,1.31094,0.00414,0,0.000373119,0.000373119,0.000373119
54,6112.9,0.94676,1.4731,0.92748,0.00264,0.83472,0.51102,0.41931,0.42007,0.26798,0.5082,0.42088,0.41162,0.23585,1.03957,1.97189,1.31067,0.00407,0,0.000365506,0.000365506,0.000365506
